iter	RMSE
0	6922.164631
1	6671.944033
2	6435.341566
3	6199.446018
4	5972.535573
5	5779.846365
6	5584.73076
7	5399.739981
8	5196.964329
9	5017.851917
10	4844.609573
11	4679.025738
12	4520.730526
13	4385.126575
14	4254.524879
15	4109.232723
16	3978.515904
17	3855.13339
18	3730.394511
19	3607.597342
20	3490.490293
21	3378.869569
22	3278.092885
23	3188.030308
24	3082.230323
25	2988.744583
26	2896.091463
27	2808.303538
28	2730.902775
29	2648.440635
30	2567.411087
31	2488.268671
32	2421.289973
33	2345.448398
34	2282.552601
35	2221.336929
36	2150.792727
37	2096.58584
38	2035.618057
39	1981.464408
40	1929.143809
41	1873.615239
42	1823.881656
43	1775.515599
44	1730.428785
45	1683.989979
46	1643.585995
47	1592.885116
48	1549.948588
49	1507.387099
50	1468.667574
51	1430.822442
52	1397.844101
53	1362.713224
54	1330.461404
55	1295.496162
56	1269.130264
57	1239.406968
58	1210.625197
59	1181.073897
60	1154.9686
61	1127.287308
62	1105.897243
63	1083.737178
64	1061.228013
65	1037.018607
66	1017.024893
67	993.8187635
68	972.2996589
69	953.0456529
70	932.1554846
71	912.1122313
72	894.4342895
73	877.3722892
74	861.3566419
75	845.8311028
76	827.538885
77	813.1367442
78	796.3659724
79	781.47633
80	766.3726895
81	750.3877216
82	738.3018942
83	726.5761689
84	715.0696706
85	706.6798276
86	695.6033052
87	686.9716071
88	674.8462359
89	666.0561139
90	654.9301785
91	643.7597821
92	635.4691726
93	626.451499
94	618.4169741
95	609.7869181
96	600.0999733
97	591.0282073
98	581.7442419
99	573.6242893
100	564.7315674
101	557.4797603
102	550.0209855
103	542.5589712
104	535.2775581
105	527.800196
106	522.1281065
107	514.9386549
108	507.0515587
109	501.0334057
110	496.5393042
111	490.6234516
112	485.4215789
113	479.293024
114	472.7926109
115	467.5531756
116	462.7052183
117	457.1399261
118	451.9966531
119	447.0632889
120	442.2628268
121	436.6200364
122	431.9582718
123	426.6901102
124	421.7849964
125	417.2912471
126	412.211146
127	407.4549575
128	401.4532922
129	396.1329312
130	392.1827027
131	388.9294019
132	384.0961859
133	380.1422194
134	375.1576874
135	370.698365
136	365.8349227
137	361.5250385
138	357.8571074
139	354.0405323
140	349.9947565
141	345.134444
142	341.2935318
143	337.7976043
144	334.4766177
145	331.2722618
146	327.9750812
147	325.9116381
148	322.0176176
149	318.6350681
150	315.7405826
151	312.5253457
152	309.7371303
153	306.4899085
154	305.0748871
155	302.2990566
156	300.437
157	296.709068
158	293.2087933
159	290.2506063
160	288.0374749
161	285.6965155
162	283.3490024
163	281.1543988
164	278.6566164
165	275.8357028
166	273.2983372
167	270.6134213
168	268.0163352
169	266.0571238
170	264.1929022
171	262.0550612
172	259.4186567
173	257.2318325
174	254.7201987
175	252.5227569
176	251.0823732
177	249.2623659
178	247.5703012
179	245.2139908
180	244.1049688
181	242.2613969
182	241.0764522
183	238.455851
184	236.167226
185	234.5185454
186	232.000322
187	229.8072622
188	227.6786181
189	225.5352333
190	224.1608911
191	222.1682333
192	220.1755944
193	218.7040677
194	216.9255418
195	214.9188803
196	214.2530862
197	213.6536494
198	211.9078406
199	209.9251213
200	208.17756
201	206.3434374
202	205.8741692
203	204.4974603
204	203.9506832
205	203.5605694
206	203.1440751
207	202.6820753
208	200.8478332
209	199.3160063
210	198.8916174
211	197.3053925
212	196.2054905
213	195.0004743
214	193.5747539
215	192.7182068
216	191.3500335
217	189.9029317
218	188.4234086
219	186.8303659
