iter	Passed	Remaining
0	152	152750
1	157	78636
2	162	53889
3	166	41487
4	171	34060
5	176	29213
6	182	25875
7	188	23347
8	193	21299
9	198	19645
10	203	18281
11	209	17211
12	214	16250
13	219	15433
14	223	14709
15	228	14068
16	233	13530
17	240	13115
18	245	12684
19	250	12273
20	254	11886
21	259	11530
22	264	11233
23	270	10991
24	275	10737
25	280	10506
26	285	10289
27	290	10067
28	294	9866
29	300	9704
30	305	9545
31	309	9366
32	314	9203
33	318	9043
34	322	8888
35	328	8795
36	334	8717
37	339	8596
38	343	8472
39	348	8360
40	352	8248
41	357	8157
42	362	8067
43	367	7979
44	372	7896
45	376	7801
46	380	7720
47	385	7639
48	389	7557
49	393	7481
50	397	7405
51	402	7342
52	407	7278
53	411	7212
54	416	7148
55	420	7086
56	424	7022
57	428	6962
58	433	6909
59	437	6858
60	442	6806
61	446	6756
62	451	6714
63	455	6664
64	460	6618
65	464	6569
66	468	6523
67	473	6484
68	477	6442
69	481	6402
70	486	6360
71	490	6321
72	494	6281
73	498	6243
74	502	6203
75	507	6169
76	511	6135
77	516	6104
78	521	6075
79	525	6043
80	530	6016
81	534	5988
82	539	5959
83	544	5933
84	548	5906
85	553	5878
86	557	5850
87	562	5826
88	566	5802
89	571	5775
90	575	5750
91	580	5727
92	584	5704
93	589	5684
94	594	5660
95	598	5637
96	603	5616
97	608	5598
98	613	5583
99	618	5562
100	622	5541
101	627	5528
102	633	5518
103	638	5504
104	645	5504
105	660	5573
106	674	5631
107	688	5687
108	702	5741
109	708	5732
110	710	5690
111	715	5676
112	724	5688
113	732	5691
114	738	5685
115	744	5673
116	749	5656
117	754	5639
118	759	5625
119	765	5611
120	769	5591
121	774	5570
122	778	5552
123	783	5535
124	788	5517
125	792	5498
126	797	5481
127	802	5466
128	806	5446
129	811	5430
130	816	5414
131	820	5395
132	825	5380
133	830	5365
134	834	5346
135	839	5330
136	843	5314
137	847	5295
138	852	5279
139	856	5262
140	861	5246
141	865	5231
142	871	5220
143	876	5212
144	881	5198
145	886	5187
146	892	5181
147	897	5167
148	901	5151
149	907	5143
150	912	5130
151	918	5122
152	923	5113
153	928	5099
154	933	5090
155	938	5078
156	943	5063
157	948	5053
158	953	5042
159	957	5029
160	963	5020
161	968	5009
162	973	4996
163	977	4985
164	982	4973
165	987	4959
166	992	4948
167	997	4940
168	1001	4925
169	1006	4912
170	1010	4900
171	1015	4888
172	1020	4876
173	1024	4865
174	1029	4852
175	1033	4838
176	1037	4825
177	1042	4814
178	1046	4801
179	1051	4789
180	1056	4778
181	1060	4767
182	1064	4754
183	1069	4744
184	1074	4735
185	1079	4722
186	1084	4712
187	1089	4706
188	1094	4698
189	1100	4689
190	1104	4680
191	1109	4669
192	1114	4662
193	1120	4654
194	1125	4644
195	1130	4639
196	1136	4633
197	1142	4626
198	1148	4622
199	1154	4616
200	1158	4606
201	1164	4600
202	1169	4592
203	1174	4584
204	1180	4577
205	1185	4569
206	1191	4562
207	1196	4554
208	1200	4543
209	1205	4533
210	1210	4528
211	1217	4523
212	1222	4517
213	1227	4508
214	1232	4500
215	1238	4493
216	1243	4487
217	1249	4480
218	1255	4475
219	1259	4466
220	1265	4460
221	1271	4454
222	1276	4448
223	1281	4440
224	1286	4431
225	1291	4422
226	1296	4414
227	1301	4406
228	1306	4397
229	1310	4388
230	1316	4381
231	1321	4374
232	1326	4366
233	1332	4360
234	1337	4352
235	1342	4345
236	1347	4337
237	1351	4328
238	1357	4321
239	1362	4314
240	1367	4306
241	1373	4302
242	1378	4294
243	1384	4288
244	1389	4281
245	1394	4274
246	1400	4268
247	1405	4262
248	1410	4255
249	1417	4251
250	1423	4246
251	1441	4280
252	1446	4271
253	1452	4265
254	1457	4258
255	1462	4250
256	1468	4244
257	1473	4237
258	1478	4230
259	1483	4223
260	1489	4217
261	1494	4208
262	1499	4201
263	1504	4195
264	1510	4189
265	1517	4188
266	1523	4182
267	1528	4175
268	1533	4167
269	1538	4159
270	1543	4151
271	1548	4143
272	1553	4137
273	1559	4131
274	1564	4125
275	1569	4117
276	1574	4108
277	1578	4100
278	1583	4093
279	1588	4084
280	1593	4076
281	1597	4068
282	1603	4063
283	1609	4057
284	1613	4048
285	1618	4040
286	1624	4034
287	1628	4025
288	1633	4019
289	1638	4012
290	1643	4004
291	1647	3995
292	1654	3991
293	1659	3986
294	1665	3979
295	1670	3973
296	1676	3967
297	1681	3961
298	1686	3953
299	1691	3945
300	1696	3938
301	1702	3934
302	1707	3927
303	1712	3921
304	1717	3912
305	1721	3904
306	1726	3896
307	1731	3889
308	1735	3880
309	1740	3873
310	1744	3865
311	1750	3860
312	1756	3856
313	1761	3848
314	1765	3839
315	1770	3831
316	1774	3822
317	1778	3815
318	1783	3806
319	1787	3798
320	1791	3790
321	1797	3784
322	1802	3777
323	1806	3769
324	1810	3760
325	1814	3752
326	1819	3743
327	1823	3736
328	1827	3727
329	1832	3719
330	1836	3711
331	1840	3703
332	1846	3698
333	1850	3690
334	1855	3683
335	1860	3676
336	1864	3668
337	1869	3661
338	1874	3654
339	1878	3646
340	1882	3638
341	1887	3631
342	1892	3625
343	1897	3618
344	1902	3612
345	1907	3605
346	1912	3599
347	1917	3592
348	1922	3586
349	1928	3580
350	1933	3575
351	1939	3570
352	1945	3566
353	1952	3562
354	1957	3556
355	1962	3550
356	1967	3543
357	1972	3538
358	1977	3530
359	1982	3523
360	1986	3516
361	1991	3510
362	1997	3505
363	2002	3498
364	2006	3491
365	2011	3484
366	2015	3476
367	2019	3468
368	2024	3461
369	2028	3453
370	2032	3446
371	2037	3439
372	2041	3432
373	2046	3424
374	2050	3417
375	2054	3410
376	2059	3403
377	2064	3396
378	2068	3389
379	2073	3382
380	2078	3376
381	2082	3369
382	2086	3361
383	2091	3355
384	2096	3348
385	2100	3341
386	2105	3334
387	2110	3328
388	2114	3321
389	2119	3314
390	2123	3307
391	2127	3300
392	2132	3293
393	2136	3286
394	2141	3279
395	2146	3273
396	2150	3266
397	2154	3259
398	2158	3251
399	2163	3244
400	2167	3237
401	2172	3231
402	2176	3224
403	2181	3217
404	2185	3211
405	2190	3205
406	2195	3198
407	2199	3192
408	2204	3185
409	2209	3179
410	2214	3173
411	2218	3166
412	2223	3159
413	2227	3153
414	2232	3146
415	2237	3140
416	2241	3134
417	2246	3127
418	2250	3121
419	2255	3114
420	2259	3107
421	2264	3101
422	2268	3094
423	2272	3087
424	2276	3080
425	2281	3073
426	2285	3066
427	2289	3059
428	2293	3052
429	2297	3045
430	2302	3039
431	2307	3033
432	2311	3027
433	2315	3020
434	2320	3014
435	2324	3007
436	2328	3000
437	2332	2993
438	2337	2987
439	2342	2981
440	2347	2975
