iter	Passed	Remaining
0	4	4647
1	7	3902
2	11	3688
3	14	3628
4	17	3577
5	21	3503
6	24	3452
7	27	3408
8	30	3384
9	34	3423
10	38	3428
11	41	3408
12	44	3391
13	47	3376
14	51	3357
15	54	3342
16	57	3331
17	60	3309
18	63	3291
19	67	3301
20	71	3332
21	74	3325
22	77	3305
23	82	3352
24	86	3364
25	89	3350
26	92	3335
27	95	3331
28	99	3318
29	102	3309
30	105	3296
31	108	3280
32	111	3274
33	114	3264
34	118	3257
35	121	3242
36	122	3187
37	125	3180
38	129	3191
39	133	3195
40	136	3191
41	139	3186
42	143	3189
43	146	3179
44	149	3169
45	152	3160
46	155	3162
47	159	3154
48	162	3146
49	165	3136
50	168	3132
51	171	3125
52	174	3118
53	178	3127
54	181	3125
55	185	3123
56	188	3118
57	192	3118
58	195	3116
59	197	3093
60	201	3103
61	204	3100
62	208	3093
63	211	3090
64	214	3083
65	217	3079
66	220	3073
67	223	3068
68	227	3069
69	230	3063
70	233	3057
71	236	3052
72	240	3049
73	243	3043
74	246	3039
75	249	3032
76	252	3026
77	255	3019
78	258	3012
79	261	3008
80	264	3003
81	267	2998
82	270	2992
83	274	2995
84	277	2990
85	280	2985
86	284	2981
87	287	2976
88	290	2973
89	295	2983
90	298	2978
91	301	2973
92	304	2968
93	307	2966
94	310	2960
95	313	2956
96	316	2950
97	320	2949
98	324	2951
99	327	2947
100	330	2943
101	333	2939
102	336	2933
103	339	2928
104	343	2924
105	346	2919
106	349	2914
107	352	2909
108	355	2904
109	358	2900
110	361	2896
111	364	2891
112	368	2892
113	372	2891
114	375	2890
115	378	2885
116	381	2880
117	385	2880
118	389	2880
119	392	2881
120	396	2877
121	399	2876
122	403	2874
123	406	2870
124	409	2865
125	412	2862
126	416	2862
127	419	2861
128	423	2857
129	426	2852
130	429	2848
131	432	2844
132	435	2839
133	438	2834
134	441	2829
135	444	2826
136	448	2822
137	451	2817
138	454	2813
139	457	2810
140	460	2807
141	465	2809
142	468	2806
143	471	2800
144	474	2798
145	478	2796
146	481	2793
147	484	2789
148	487	2786
149	490	2781
150	493	2776
151	496	2772
152	500	2771
153	504	2769
154	507	2766
155	511	2765
156	514	2764
157	518	2760
158	520	2751
159	523	2747
