dt,Цена на арматуру,lag_1,lag_2,lag_3,lag_4,Скользящее среднее,week,month,Базовый индекс потребительских цен на товары и услуги,Ключевая ставка,Курс доллара,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",Price_x,Open_x,High_x,Low_x,Vol._x,Change %_x,Price_y,Open_y,High_y,Low_y,Vol._y,Change %_y,Price,Open,High,Low,Vol.,Change %
2015-01-05,32900.0,32900.0,32900.0,32900.0,32900.0,31025.0,2.0,1.0,0.0,7.235714285714286,69.02996180866965,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-01-12,32500.0,32900.0,32900.0,32900.0,32900.0,31025.0,3.0,1.0,0.0,7.235714285714286,69.02996180866965,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-01-19,32000.0,32500.0,32900.0,32900.0,32900.0,31025.0,4.0,1.0,0.0,7.235714285714286,69.02996180866965,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-01-26,30700.0,32000.0,32500.0,32900.0,32900.0,31025.0,5.0,1.0,0.0,7.235714285714286,69.02996180866965,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-02-02,30300.0,30700.0,32000.0,32500.0,32900.0,31025.0,6.0,2.0,0.0,7.235714285714286,69.02996180866965,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-02-09,30300.0,30300.0,30700.0,32000.0,32500.0,31025.0,7.0,2.0,0.0,7.235714285714286,69.02996180866965,3850.0,228.0,12344.0,10009.0,12728.0,62.0,285.5,3700.0,70.0,221.0,221.0,338.0,248.0,3300.0,11573.0,51.0,4500.0,6900.0,11870.0,4300.0,297.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11598.0,4700.0,246.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-02-16,30100.0,30300.0,30300.0,30700.0,32000.0,31025.0,8.0,2.0,0.0,7.235714285714286,69.02996180866965,3850.0,206.0,12271.0,10432.0,12852.0,63.0,285.5,3700.0,70.0,221.0,213.0,308.0,248.0,3300.0,11746.0,51.0,4500.0,6900.0,12088.0,4300.0,278.0,1325.0,2275.0,21250.0,106.0,3450.0,249.5,11794.0,4700.0,243.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-02-23,29400.0,30100.0,30300.0,30300.0,30700.0,31025.0,9.0,2.0,0.0,7.235714285714286,69.02996180866965,3850.0,207.0,12645.0,11981.0,13034.0,64.0,285.5,3700.0,72.0,215.0,208.0,295.0,248.0,3300.0,11930.0,53.0,4500.0,6900.0,12503.0,4300.0,265.0,1325.0,2275.0,21250.0,103.0,3450.0,249.5,12047.0,4700.0,241.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-03-02,29200.0,29400.0,30100.0,30300.0,30300.0,30562.5,10.0,3.0,0.0,7.235714285714286,69.02996180866965,3850.0,214.0,12696.0,11912.0,12910.0,63.0,285.5,3700.0,72.0,224.0,215.0,295.0,248.0,3300.0,12100.0,53.0,4500.0,6900.0,12439.0,4300.0,265.0,1325.0,2275.0,21250.0,103.0,3450.0,249.5,12253.0,4700.0,249.0,322.5,3890.0,3350.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-03-09,29000.0,29200.0,29400.0,30100.0,30300.0,30125.0,11.0,3.0,0.0,7.235714285714286,69.02996180866965,4400.0,232.0,12916.0,12061.0,12964.0,61.0,285.5,4050.0,70.0,229.0,221.0,275.0,248.0,3750.0,11774.0,51.0,4700.0,8750.0,12020.0,4100.0,265.0,1345.0,2425.0,15250.0,103.0,3500.0,249.5,12183.0,4700.0,257.0,322.5,4164.0,3525.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-03-16,28700.0,29000.0,29200.0,29400.0,30100.0,29712.5,12.0,3.0,0.0,7.235714285714286,69.02996180866965,4400.0,229.0,12883.0,11893.0,12812.0,58.0,285.5,4050.0,67.0,231.0,223.0,265.0,248.0,3750.0,11733.0,48.0,4700.0,8750.0,12093.0,4100.0,263.0,1345.0,2425.0,15250.0,102.0,3500.0,249.5,12140.0,4700.0,256.0,322.5,4164.0,3525.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-03-23,27800.0,28700.0,29000.0,29200.0,29400.0,29350.0,13.0,3.0,0.0,7.235714285714286,69.02996180866965,4400.0,230.0,12753.0,11945.0,12694.0,56.0,285.5,4050.0,65.0,230.0,220.0,263.0,253.0,3750.0,11540.0,46.0,4700.0,8750.0,11763.0,4100.0,263.0,1345.0,2425.0,15250.0,101.0,3500.0,249.5,12139.0,4700.0,254.0,322.5,4164.0,3525.0,312.0,297.5,3540.0,2097.0,1261.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-03-30,27200.0,27800.0,28700.0,29000.0,29200.0,28962.5,14.0,3.0,0.0,7.235714285714286,69.02996180866965,4400.0,231.0,12521.0,11853.0,12569.0,55.0,285.5,4050.0,63.5,233.0,221.0,269.0,254.0,3750.0,11579.0,44.5,4700.0,8750.0,11719.0,4100.0,261.0,1345.0,2425.0,15250.0,98.0,3500.0,249.5,12113.0,4700.0,256.0,322.5,4164.0,3525.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-04-06,26600.0,27200.0,27800.0,28700.0,29000.0,28500.0,15.0,4.0,0.0,7.235714285714286,69.02996180866965,4400.0,235.0,12395.0,11785.0,12421.0,50.0,285.5,4050.0,58.0,236.0,229.0,265.0,258.0,3750.0,11378.0,39.0,4700.0,8750.0,11250.0,4100.0,264.0,1250.0,2175.0,13250.0,95.0,3200.0,249.5,12369.0,4700.0,262.0,322.5,4941.0,3525.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-04-13,25700.0,26600.0,27200.0,27800.0,28700.0,27950.0,16.0,4.0,0.0,7.235714285714286,69.02996180866965,5350.0,238.0,12220.0,11327.0,12146.0,48.0,285.5,5200.0,57.5,236.0,229.0,265.0,258.0,4400.0,11056.0,38.5,5700.0,10350.0,11327.0,4800.0,260.0,1250.0,2175.0,13250.0,92.0,3200.0,249.5,12324.0,5550.0,263.0,322.5,4941.0,3850.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-04-20,24800.0,25700.0,26600.0,27200.0,27800.0,27375.0,17.0,4.0,0.0,7.235714285714286,69.02996180866965,5350.0,245.0,11830.0,11050.0,11716.0,50.0,285.5,5200.0,58.5,241.0,238.0,265.0,258.0,4400.0,10613.0,39.5,5700.0,10350.0,10555.0,4800.0,260.0,1250.0,2175.0,13250.0,90.0,3200.0,249.5,12109.0,5550.0,267.0,322.5,4941.0,3850.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-04-27,24700.0,24800.0,25700.0,26600.0,27200.0,26812.5,18.0,4.0,0.0,7.235714285714286,69.02996180866965,5350.0,250.0,11083.0,11091.0,11035.0,54.0,285.5,5200.0,61.0,248.0,243.0,270.0,258.0,4400.0,10456.0,42.0,5700.0,10350.0,10066.0,4800.0,264.0,1250.0,2175.0,13250.0,88.0,3200.0,249.5,11705.0,5550.0,274.0,322.5,4941.0,3850.0,312.0,297.5,3601.0,2322.0,1267.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-05-04,24300.0,24700.0,24800.0,25700.0,26600.0,26225.0,19.0,5.0,0.0,7.235714285714286,69.02996180866965,5350.0,251.0,10714.0,11167.0,10865.0,58.0,285.5,5200.0,62.5,249.0,244.0,265.0,258.0,4400.0,9996.0,43.5,5700.0,10350.0,9758.0,4800.0,263.0,1250.0,2175.0,13250.0,86.0,3200.0,249.5,10970.0,5550.0,276.0,322.5,4925.0,3850.0,312.0,297.5,3376.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-05-11,23900.0,24300.0,24700.0,24800.0,25700.0,25625.0,20.0,5.0,0.0,7.235714285714286,69.02996180866965,5250.0,259.0,10558.0,11270.0,10463.0,60.0,285.5,5200.0,64.0,257.0,252.0,263.0,260.0,4400.0,9371.0,45.0,5700.0,9900.0,9432.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,249.5,10589.0,5550.0,285.0,322.5,4925.0,3850.0,312.0,297.5,3376.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-05-18,24000.0,23900.0,24300.0,24700.0,24800.0,25150.0,21.0,5.0,0.0,7.235714285714286,69.02996180866965,5250.0,265.0,10269.0,10723.0,10454.0,62.0,285.5,5200.0,65.0,264.0,255.0,263.0,265.0,4400.0,9234.0,46.0,5700.0,9900.0,9386.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,249.5,10539.0,5550.0,288.0,322.5,4925.0,3850.0,312.0,297.5,3376.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-05-25,23700.0,24000.0,23900.0,24300.0,24700.0,24712.5,22.0,5.0,0.0,7.235714285714286,69.02996180866965,5250.0,263.0,10042.0,9744.0,10315.0,59.0,285.5,5200.0,64.0,262.0,250.0,265.0,265.0,4400.0,8990.0,45.0,5700.0,9900.0,9290.0,4800.0,272.0,1250.0,1750.0,12750.0,81.0,2600.0,249.5,10383.0,5550.0,283.0,322.5,4925.0,3850.0,312.0,297.5,2594.0,2192.0,1051.0,23.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-06-01,23500.0,23700.0,24000.0,23900.0,24300.0,24325.0,23.0,6.0,0.0,7.235714285714286,69.02996180866965,5250.0,262.0,10075.0,9586.0,10333.0,62.0,285.5,5200.0,65.5,258.0,245.0,265.0,265.0,4400.0,8704.0,46.5,5700.0,9900.0,9299.0,4800.0,270.0,1250.0,1750.0,12750.0,82.0,2600.0,249.5,10210.0,5550.0,280.0,322.5,4925.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-06-08,23800.0,23500.0,23700.0,24000.0,23900.0,24087.5,24.0,6.0,0.0,7.235714285714286,69.02996180866965,5150.0,261.0,10485.0,9540.0,10268.0,64.0,285.5,5000.0,66.5,258.0,239.0,265.0,265.0,4250.0,8833.0,47.5,5550.0,9400.0,9318.0,4800.0,272.0,1250.0,1950.0,13000.0,83.0,2760.0,249.5,10158.0,5400.0,279.0,322.5,4838.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
2015-06-15,24400.0,23800.0,23500.0,23700.0,24000.0,24037.5,25.0,6.0,0.0,7.235714285714286,69.02996180866965,5150.0,261.0,10468.0,8646.0,10225.0,65.0,285.5,5000.0,69.0,258.0,242.0,265.0,270.0,4250.0,8812.0,50.0,5550.0,9400.0,9319.0,4800.0,271.0,1250.0,1950.0,13000.0,85.0,2760.0,249.5,10156.0,5400.0,279.0,322.5,4838.0,3850.0,312.0,297.5,2594.0,1772.0,1170.0,22.0,64.0,101.0,77.0,125.5,"1,029.00","1,015.20","1,000.00","1,024.00",1.30M,0.29%,"38,95","40,00","37,85","36,90","21,85M","-0,37%",152.22,154.2,154.2,151.6,5.67M,-0.12%
